brapa_gene	agi	identity	evalue	bitscore
BRARA.E02679	AT3G14420	97	2.07e-255	694
BRARA.E02681	AT3G14410	96.4	8.53e-224	612
BRARA.E02682	AT3G14400	75.1	0	919
BRARA.E02684	AT3G14380	68	4.24e-76	224
BRARA.E02685	AT3G14370	93.7	0	881
BRARA.E02687	AT3G14360	79.3	3.7e-308	842
BRARA.E02688	AT3G14350	83.5	0	1072
BRARA.E02691	AT3G14310	92.3	0	1056
BRARA.E02692	AT3G14280	81.1	7.62e-75	219
BRARA.E02693	AT3G14250	75.8	2.9e-184	509
BRARA.E02695	AT3G14230	74.5	4.34e-186	520
BRARA.E02697	AT3G14225	82.5	3.09e-235	644
BRARA.E02698	AT3G14210	79.3	9.94e-221	608
BRARA.E02703	AT3G14205	87	0	1373
BRARA.E02707	AT3G14172	72.5	0	1527
BRARA.E02708	AT3G14170	78.7	1.21e-272	751
BRARA.E02709	AT3G14160	61.9	1.05e-174	496
BRARA.E02713	AT3G14110	80.6	2.69e-173	482
BRARA.E02714	AT3G14090	81.9	0	960
BRARA.E02716	AT3G14070	84.2	0	1086
BRARA.E02717	AT3G14067	92.4	0	1410
BRARA.E02718	AT3G14050	85.2	0	1167
BRARA.E02719	AT3G13840	76.4	4.03e-278	763
BRARA.E02721	AT3G13990	71.3	0	1125
BRARA.E02725	AT3G13960	70	1.65e-156	446
BRARA.E02726	AT3G13950	77.7	1.01e-97	282
BRARA.E02727	AT3G13930	88.3	0	885
BRARA.E02731	AT3G13890	75.5	1.4e-185	517
BRARA.E02732	AT3G13882	63.7	7.89e-58	178
BRARA.E02733	AT3G13870	87	0	1315
BRARA.E02734	AT3G13850	76.3	6.31e-144	403
BRARA.E02735	AT3G13845	82.9	2.41e-24	85.9
BRARA.E02738	AT3G13784	80.2	0	946
BRARA.E02739	AT3G13782	77.7	9.84e-154	432
BRARA.E02740	AT3G13780	70.4	1.03e-88	266
BRARA.E02741	AT3G13772	98.4	0	1255
BRARA.E02742	AT3G13770	86.5	0	1102
BRARA.E02744	AT3G13740	88.5	1.62e-146	409
BRARA.E02747	AT3G13700	65.8	2.02e-110	320
BRARA.E02749	AT3G13670	89.9	0	1142
BRARA.E02750	AT3G13650	83.3	1.24e-108	308
BRARA.E02751	AT3G13620	90.3	1.64e-314	853
BRARA.E02752	AT3G13610	89.2	1.03e-242	661
BRARA.E02754	AT3G13600	83.2	0	949
BRARA.E02759	AT3G13560	81.4	1.24e-291	796
BRARA.E02760	AT3G13550	91.8	3.85e-124	347
BRARA.E02761	AT3G13540	81.3	2.03e-138	388
BRARA.E02762	AT4G12617	51.2	9.3e-41	131
BRARA.E02766	AT3G13520	88.5	1.34e-24	85.9
BRARA.E02767	AT3G13510	88.3	1.86e-284	772
BRARA.E02768	AT3G13490	87.7	0	952
BRARA.E02769	AT3G13480	75.1	1.58e-59	184
BRARA.E02771	AT3G13460	78.9	0	951
BRARA.E02772	AT3G13445	97.5	1.17e-138	385
BRARA.E02774	AT3G13430	68.4	9.15e-134	382
BRARA.E02775	AT3G13420	69.6	4.2e-110	319
BRARA.E02776	AT3G13410	90.3	3.2e-200	550
BRARA.E02777	AT3G13400	95.6	0	1097
BRARA.E02778	AT3G13390	94.6	0	1108
BRARA.E02780	AT3G13350	68.6	1.67e-137	391
BRARA.E02784	AT3G13320	92.1	6.24e-287	780
BRARA.E02786	AT3G13300	75.5	0	1879
BRARA.E02790	AT3G13230	93	8.64e-139	386
BRARA.E02796	AT3G13175	84.9	6.73e-54	163
BRARA.E02798	AT3G13130	65	1.61e-68	207
BRARA.E02799	AT3G13120	84.7	3.92e-106	302
BRARA.E02800	AT3G13110	83.2	2.91e-216	597
BRARA.E02801	AT3G13100	87.5	0	2494
BRARA.E02803	AT3G13070	89.3	0	1067
BRARA.E02805	AT3G13060	85.2	0	1031
BRARA.E02809	AT3G12970	74	7.42e-157	445
BRARA.E02811	AT3G12940	87.5	2.02e-303	825
BRARA.E02820	AT3G12880	72.4	1.95e-85	248
BRARA.E02823	AT3G12810	84.3	0	3208
BRARA.E02826	AT3G12775	65.1	1.47e-135	391
BRARA.E02827	AT3G12770	83.6	0	1158
BRARA.E02828	AT3G12760	92.8	1.9e-173	477
BRARA.E02829	AT3G12750	85.2	4.92e-196	543
BRARA.E02830	AT3G12740	88	3.61e-215	590
BRARA.E02832	AT3G12720	83.2	2.04e-168	468
BRARA.E02833	AT3G12710	85.4	6.36e-190	524
BRARA.E02836	AT3G12690	85.4	0	976
BRARA.E02837	AT3G12680	77.6	2.29e-274	756
BRARA.E02842	AT3G12620	93.8	6.73e-263	714
BRARA.E02843	AT3G12600	88	2.44e-116	327
BRARA.E02845	AT3G12560	76.6	9.37e-318	872
BRARA.E02846	AT3G12550	79.3	0	967
BRARA.E02849	AT3G12500	90.4	3.33e-227	619
BRARA.E02850	AT3G12490	86	5.85e-141	393
BRARA.E02852	AT3G12390	86.9	4.18e-90	262
BRARA.E02853	AT3G12380	85.1	0	1207
BRARA.E02854	AT3G12370	87.7	1.35e-109	309
BRARA.E02856	AT3G12345	77	1.8e-92	266
BRARA.E02857	AT3G12320	83.6	1.56e-153	428
BRARA.E02860	AT3G12270	79.1	0	917
BRARA.E02861	AT3G12210	88.6	3.5e-127	357
BRARA.E02862	AT3G12180	89.7	2.66e-88	253
BRARA.E02863	AT3G12170	86.7	2.64e-153	429
BRARA.E02865	AT3G12150	91.9	7.17e-257	697
BRARA.E02873	AT3G12130	84.3	5.62e-139	389
BRARA.E02874	AT3G12120	90.4	1.39e-272	739
BRARA.E02875	AT3G12110	98.9	1.1e-277	751
BRARA.E02876	AT3G12100	89.8	3.19e-250	683
BRARA.E02877	AT3G12090	93.3	6.23e-202	551
BRARA.E02878	AT3G12080	88.7	0	1100
BRARA.E02879	AT3G12060	77.3	3.19e-307	840
BRARA.E02880	AT3G12050	84.8	2.69e-224	614
BRARA.E02881	AT3G12040	85.9	1.2e-160	445
BRARA.E02882	AT3G12020	81.1	0	1417
BRARA.E02883	AT1G47470	60	1.59e-71	213
BRARA.E02889	AT3G11960	88.7	0	2367
BRARA.E02890	AT3G11950	66	2.08e-212	606
BRARA.E02892	AT3G11940	95.2	1.4e-138	385
BRARA.E02894	AT3G11910	91.1	0	2087
BRARA.E02896	AT3G11890	84.9	1.47e-73	245
BRARA.E02897	AT3G11850	61.4	3.69e-184	523
BRARA.E02898	AT3G11840	79.6	4.56e-253	696
BRARA.E02900	AT3G11820	89.8	8.38e-175	488
BRARA.E02902	AT3G11800	87.5	9.47e-154	427
BRARA.E02903	AT3G11780	71.9	5.23e-83	241
BRARA.E02904	AT3G11770	86.5	4.03e-130	363
BRARA.E02907	AT3G11720	64	6.18e-211	597
BRARA.E02909	AT3G11700	91.3	1.74e-295	803
BRARA.E02912	AT3G11670	86.8	0	1388
BRARA.E02915	AT3G11630	91.7	2.2e-163	452
BRARA.E02918	AT3G11590	82.1	9.67e-313	860
BRARA.E02920	AT3G11570	88.8	7.19e-295	799
BRARA.E02921	AT3G11560	82.3	0	1363
BRARA.E02923	AT3G11540	74.2	0	1003
BRARA.E02924	AT3G11530	98.2	1.94e-77	226
BRARA.E02926	AT3G11500	100	1.62e-51	155
BRARA.E02931	AT3G11470	80.1	4.89e-176	488
BRARA.E02932	AT3G11460	84	0	1049
BRARA.E02933	AT3G11450	86.3	0	897
BRARA.E02934	AT3G11440	73	2.12e-277	763
BRARA.E02936	AT3G11430	90.2	0	889
BRARA.E02937	AT3G11420	85.1	0	898
BRARA.E02938	AT3G11410	80.7	4.77e-217	600
BRARA.E02940	AT3G11397	93.3	3.85e-137	382
BRARA.E02941	AT5G05970	73.4	0	1091
BRARA.E02942	AT3G11340	83.7	7.09e-280	763
BRARA.E02947	AT3G11260	73.4	9.34e-89	258
BRARA.E02948	AT3G11240	76.4	1.5e-307	845
BRARA.E02951	AT3G11220	93.9	6.17e-237	646
BRARA.E02952	AT3G11210	91.8	7.17e-179	491
BRARA.E02956	AT3G11130	97.4	0	3243
BRARA.E02957	AT3G11110	82.8	2.48e-90	259
BRARA.E02959	AT3G11090	86.1	4.57e-98	280
BRARA.E02963	AT3G11980	87.8	1.61e-241	670
BRARA.E02967	AT3G11050	84.4	5.08e-146	408
BRARA.E02968	AT3G11030	93	1.12e-259	712
BRARA.E02972	AT3G10980	77.2	7e-311	849
BRARA.E02973	AT3G10970	90.8	9.17e-242	659
BRARA.E02974	AT3G10960	92.3	0	1031
BRARA.E02975	AT3G10940	87.8	2.88e-183	504
BRARA.E02979	AT3G10880	50.6	1.33e-68	216
BRARA.E02980	AT3G10870	82.5	8.57e-167	462
BRARA.E02983	AT3G10850	91.1	1.69e-178	490
BRARA.E02984	AT3G10840	80.9	1.21e-263	724
BRARA.E02985	AT3G10820	67.4	2.62e-161	464
BRARA.E02986	AT3G10815	74.9	2.22e-108	308
BRARA.E02988	AT3G10770	87.4	6.47e-204	561
BRARA.E02991	AT3G10750	56.4	6.49e-90	271
BRARA.E02993	AT3G10730	69.4	6.74e-203	568
BRARA.E02994	AT3G10700	89.8	1.43e-277	754
BRARA.E02995	AT3G10680	55.3	7.09e-133	394
BRARA.E02996	AT3G10670	90.5	3.39e-213	585
BRARA.E02997	AT3G10660	84.9	0	905
BRARA.E02998	AT5G48330	60.5	2.6e-171	487
BRARA.E02999	AT3G10620	83.5	4.78e-132	370
BRARA.E03003	AT1G66240	90.8	3.35e-44	137
BRARA.E03005	AT3G10570	85.9	0	884
BRARA.E03006	AT1G32430	55.5	1.24e-146	421
BRARA.E03008	AT3G10540	90.3	1.77e-317	861
BRARA.E03014	AT3G10490	82	4.84e-209	584
BRARA.E03016	AT3G10450	79.7	5.76e-273	744
BRARA.E03017	AT3G10420	90.7	0	1142
BRARA.E03019	AT3G10400	80.6	2.86e-88	262
BRARA.E03020	AT3G10380	93.2	0	1891
BRARA.E03021	AT3G10370	94.9	0	1174
BRARA.E03022	AT3G10350	82.6	1.27e-239	659
BRARA.E03023	AT3G10340	90.7	0	1244
BRARA.E03024	AT3G10320	81	2.65e-290	793
BRARA.E03025	AT3G10310	85.9	0	1585
BRARA.E03027	AT3G10270	94.5	0	1348
BRARA.E03028	AT3G10260	83.8	6.47e-155	430
BRARA.E03029	AT3G10250	84.9	6.6e-185	512
BRARA.E03030	AT3G10230	90.8	0	913
BRARA.E03031	AT3G10220	88.9	6.85e-164	452
BRARA.E03032	AT3G10210	89.5	1.45e-164	453
BRARA.E03036	AT3G10190	63.8	2.89e-71	215
BRARA.E03038	AT3G10150	86.7	1.35e-237	650
BRARA.E03039	AT3G10130	79.9	1.25e-144	409
BRARA.E03040	AT3G10120	74.7	4.04e-85	247
BRARA.E03041	AT3G10070	73.9	1.77e-229	642
BRARA.E03042	AT3G10060	89.1	2.25e-142	397
BRARA.E03045	AT3G10030	86.1	0	893
BRARA.E03046	AT3G10020	85.4	3.19e-85	246
BRARA.E03047	AT3G09980	91	6.39e-98	280
BRARA.E03048	AT3G09970	87.7	6.22e-211	577
BRARA.E03049	AT3G09950	71.7	3.35e-43	135
BRARA.E03050	AT3G09930	75.7	1.79e-205	566
BRARA.E03052	AT3G09920	85.6	0	1039
BRARA.E03053	AT3G09910	91.2	6.59e-129	360
BRARA.E03054	AT3G09900	95.9	7.75e-146	404
BRARA.E03058	AT3G09870	77	7.29e-57	171
BRARA.E03059	AT3G09860	99	2.45e-75	216
BRARA.E03060	AT3G09850	68.8	2.35e-292	820
BRARA.E03062	AT3G09830	89.9	1.14e-274	747
BRARA.E03065	AT3G09810	91.4	4.45e-241	658
BRARA.E03066	AT4G08520	93.4	1.38e-114	322
BRARA.E03067	AT3G09780	80.6	0	1112
BRARA.E03068	AT3G09770	76.1	6.99e-176	494
BRARA.E03072	AT3G09735	90.4	3.22e-35	113
BRARA.E03073	AT2G06990	89.8	0	1699
BRARA.E03074	AT3G09660	88.3	0	1378
BRARA.E03075	AT3G09650	84.2	0	1212
BRARA.E03078	AT3G09600	85.1	2.81e-163	455
BRARA.E03080	AT3G09580	83.9	3.28e-290	791
BRARA.E03081	AT3G09570	90.7	3.59e-285	775
BRARA.E03082	AT3G09560	74.1	0	1238
BRARA.E03083	AT3G09540	82.3	2.9e-231	633
BRARA.E03086	AT3G09470	90	2.99e-276	753
BRARA.E03087	AT3G09450	78.7	0	1147
BRARA.E03088	AT3G09430	72.4	2.05e-165	463
BRARA.E03089	AT3G09410	87.4	3e-289	785
BRARA.E03091	AT3G09390	93.8	1.09e-43	135
BRARA.E03093	AT3G09370	69.5	2.15e-206	582
BRARA.E03094	AT3G09350	92.3	1.06e-237	649
BRARA.E03097	AT3G09310	77.1	2.24e-89	258
BRARA.E03098	AT3G09300	95.2	0	887
BRARA.E03101	AT3G09220	86.8	0	1028
BRARA.E03102	AT3G09200	95.5	1.27e-191	529
BRARA.E03107	AT3G09110	75	1.87e-180	508
BRARA.E03108	AT3G09100	95.2	0	1319
BRARA.E03110	AT3G09050	86.9	9.24e-121	344
BRARA.E03111	AT3G09180	89.3	2.3e-249	681
BRARA.E03112	AT3G09190	67.2	6.64e-159	448
BRARA.E03114	AT3G09030	88.2	2.12e-294	800
BRARA.E03115	AT3G09020	81.8	1.39e-241	662
BRARA.E03116	AT3G09000	74.7	1.71e-201	572
BRARA.E03117	AT3G08990	83.5	1.02e-81	235
BRARA.E03118	AT3G08980	88.2	4.72e-104	293
BRARA.E03119	AT3G08970	78.2	2.38e-297	818
BRARA.E03122	AT3G08947	88.4	0	1145
BRARA.E03123	AT3G08940	95.8	2.15e-198	543
BRARA.E03124	AT3G08930	95.1	0	934
BRARA.E03125	AT3G08920	79.8	7.76e-124	348
BRARA.E03127	AT3G08900	85.8	2.17e-261	710
BRARA.E03128	AT3G08890	98.2	1.37e-120	337
BRARA.E03132	AT2G45240	94.2	2.42e-261	710
BRARA.E03134	AT3G08960	92.9	0	1106
BRARA.E03135	AT3G08820	81.6	0	1128
BRARA.E03136	AT3G08800	77.7	0	1378
BRARA.E03137	AT3G08780	75.1	4.28e-156	438
BRARA.E03138	AT3G08770	72.1	7.92e-55	166
BRARA.E03139	AT3G08760	88.7	0	948
BRARA.E03140	AT3G08740	84.9	1.33e-141	395
BRARA.E03141	AT3G08730	85.3	3.2e-291	793
BRARA.E03145	AT3G08680	81.8	0	941
BRARA.E03146	AT3G08670	82.3	9.37e-261	724
BRARA.E03150	AT3G08620	92.6	4.41e-186	511
BRARA.E03155	AT3G08500	82.6	4.97e-193	534
BRARA.E03156	AT3G08490	73.6	9.75e-146	409
BRARA.E03159	AT3G08000	83.9	4.4e-79	229
BRARA.E03160	AT3G07990	89.5	0	877
BRARA.E03161	AT3G07970	83	2.41e-271	740
BRARA.E03162	AT3G07950	92.8	1.33e-198	545
BRARA.E03164	AT3G07910	84.3	1.77e-30	101
BRARA.E03165	AT3G07900	80.7	0	889
BRARA.E03166	AT3G07890	96	2.75e-283	767
BRARA.E03170	AT3G14040	73.5	3.58e-234	647
BRARA.E03174	AT3G07770	88.8	0	1366
BRARA.E03178	AT3G07740	80.3	1.13e-308	844
BRARA.E03180	AT3G07720	89	9.76e-229	623
BRARA.E03181	AT3G07700	88.1	0	1217
BRARA.E03182	AT3G07690	90.6	6.95e-278	757
BRARA.E03185	AT3G07660	76.8	0	1160
BRARA.E03187	AT3G07630	89.5	6.07e-240	656
BRARA.E03188	AT3G07610	61.7	0	954
BRARA.E03190	AT3G07590	97	5.4e-65	192
BRARA.E03191	AT3G07580	56.3	2.3e-44	141
BRARA.E03192	AT3G07570	81.6	1.05e-223	614
BRARA.E03193	AT3G07568	88.2	2.45e-39	123
BRARA.E03194	AT3G07565	82.7	4.17e-131	371
BRARA.E03196	AT3G07550	74.9	2.49e-162	461
BRARA.E03197	AT3G07540	62.7	2.99e-279	789
BRARA.E03198	AT3G07530	78.7	0	1086
BRARA.E03199	AT3G07525	77.6	5.27e-124	350
BRARA.E03201	AT3G07500	77.6	4.91e-110	313
BRARA.E03203	AT3G07480	88.1	8.79e-90	258
BRARA.E03204	AT3G07470	73.7	5.46e-86	249
BRARA.E03205	AT3G07450	82.3	3.34e-56	169
BRARA.E03206	AT3G07425	87.8	1.32e-61	182
BRARA.E03207	AT3G07420	79.5	0	979
BRARA.E03208	AT3G07400	89.7	0	1736
BRARA.E03209	AT1G07670	93.7	0	1946
BRARA.E03210	AT3G07390	69.6	9.91e-108	311
BRARA.E03212	AT3G07370	86.2	5.56e-179	493
BRARA.E03213	AT3G07360	87	2.05e-251	692
BRARA.E03214	AT3G07350	82.1	1.68e-171	476
BRARA.E03215	AT3G07340	67.4	2.59e-182	516
BRARA.E03216	AT3G07320	88	6.48e-307	833
BRARA.E03218	AT3G07310	85.2	9.5e-228	624
BRARA.E03219	AT3G07300	93.4	2.4e-261	712
BRARA.E03224	AT3G07270	81.8	1.1e-270	740
BRARA.E03225	AT3G07230	80.4	1.04e-17	67.4
BRARA.E03226	AT3G07220	83.1	1.74e-174	485
BRARA.E03227	AT3G07210	77.7	4.23e-280	771
BRARA.E03228	AT3G07200	57.6	3.2e-58	180
BRARA.E03230	AT3G07180	85.5	0	1017
BRARA.E03231	AT3G07170	82.6	4e-103	295
BRARA.E03232	AT3G07160	92.3	0	3484
BRARA.E03233	AT5G67290	85	1.84e-242	664
BRARA.E03234	AT3G07150	72.1	1.63e-92	268
BRARA.E03235	AT3G07140	86.1	0	1093
BRARA.E03236	AT3G07130	84.1	0	995
BRARA.E03239	AT3G07100	86.5	0	1599
BRARA.E03240	AT3G07090	82.9	1.11e-153	428
BRARA.E03242	AT3G07060	75.7	0	1116
BRARA.E03244	AT3G07020	91.8	0	1103
BRARA.E03245	AT3G07010	96.6	2.28e-308	832
BRARA.E03247	AT3G06985	68.1	2.74e-33	108
BRARA.E03248	AT3G06980	72.5	0	1030
BRARA.E03250	AT3G06930	88.7	0	908
BRARA.E03254	AT3G06830	80.8	0	924
BRARA.E03255	AT3G06810	92.7	0	1555
BRARA.E03256	AT3G06780	71.9	1.14e-65	200
BRARA.E03259	AT3G06730	88.5	1.01e-117	330
BRARA.E03263	AT3G66658	97.5	0	1161
BRARA.E03264	AT3G66654	87.7	3.43e-146	407
BRARA.E03267	AT3G06610	91.3	1.16e-63	188
BRARA.E03269	AT3G06590	72	4.34e-90	264
BRARA.E03270	AT3G06580	91.3	0	902
BRARA.E03271	AT3G06560	76.5	7.54e-300	818
BRARA.E03273	AT3G06540	82.2	0	885
BRARA.E03276	AT3G06500	85.4	0	1135
BRARA.E03279	AT3G06470	86.7	3.55e-175	483
BRARA.E03284	AT3G06430	88.6	1.84e-216	605
BRARA.E03285	AT3G06390	86.3	1.25e-109	311
BRARA.E03287	AT3G06380	76.3	3.83e-206	569
BRARA.E03288	AT3G06370	87.1	0	910
BRARA.E03291	AT3G06330	79.6	2.59e-224	621
BRARA.E03293	AT3G06300	91.4	5.29e-203	556
BRARA.E03294	AT3G06290	76.4	0	1523
BRARA.E03295	AT3G06110	88.4	1.55e-103	294
BRARA.E03297	AT3G06130	81.9	1.22e-155	450
BRARA.E03298	AT3G06140	82.7	3.09e-184	513
BRARA.E03299	AT3G06145	91.1	2.49e-111	313
BRARA.E03300	AT3G06150	81.5	0	1035
BRARA.E03301	AT3G06230	69.4	1.22e-139	396
BRARA.E03302	AT3G06210	87.1	0	1406
BRARA.E03304	AT3G06200	78.2	6.33e-145	407
BRARA.E03306	AT3G06170	93.1	2.83e-280	760
BRARA.E03308	AT3G06100	86.9	4.05e-164	455
BRARA.E03309	AT3G06090	61	8.57e-20	74.3
BRARA.E03310	AT3G06080	83.4	2.74e-293	798
BRARA.E03311	AT3G06070	78.3	1.12e-76	224
BRARA.E03312	AT3G06060	85.7	1.48e-177	494
BRARA.E03313	AT3G06050	95	1.41e-135	377
BRARA.E03314	AT3G06040	81.8	3.9e-99	284
BRARA.E03315	AT3G06035	83.2	2.24e-113	321
BRARA.E03316	AT3G06030	89.8	0	1141
BRARA.E03317	AT3G06019	68.8	8.28e-08	42
BRARA.E03318	AT3G06020	74.1	2.52e-114	331
BRARA.E03319	AT3G06000	69.5	1.19e-80	240
BRARA.E03321	AT3G05980	76.9	8.66e-103	297
BRARA.E03322	AT3G05975	75.8	1.57e-99	285
BRARA.E03324	AT3G05960	92.5	0	924
BRARA.E03326	AT3G05940	93.8	1.58e-280	762
BRARA.E03329	AT3G05920	83.1	3.35e-57	173
BRARA.E03330	AT3G05910	95.2	2.53e-302	816
BRARA.E03332	AT3G05880	85.2	3.9e-30	99.4
BRARA.E03335	AT3G05860	55.5	1.85e-95	281
BRARA.E03337	AT3G05850	86.6	0	1313
BRARA.E03339	AT3G05830	82	5.1e-116	339
BRARA.E03340	AT3G05800	78.6	4.21e-86	252
BRARA.E03342	AT3G05760	88.3	8.02e-102	291
BRARA.E03343	AT3G05750	64.7	4.61e-289	813
BRARA.E03344	AT3G05740	89.9	0	1077
BRARA.E03345	AT3G05730	64	8.89e-33	108
BRARA.E03346	AT3G05725	83.9	6.03e-77	223
BRARA.E03347	AT3G05720	78.5	1.31e-225	632
BRARA.E03348	AT3G05710	86.6	1.85e-185	513
BRARA.E03350	AT3G05620	88.2	0	979
BRARA.E03352	AT3G05610	87.3	0	1069
BRARA.E03353	AT3G05600	87.9	1.57e-231	630
BRARA.E03357	AT3G05570	88.9	7.46e-53	159
BRARA.E03361	AT3G05500	93.4	3.24e-147	410
BRARA.E03363	AT3G05480	83.9	4e-268	733
BRARA.E03364	AT3G05470	78.9	0	1177
BRARA.E03365	AT3G05460	50.7	4.28e-12	58.2
BRARA.E03366	AT3G05450	53.1	2.54e-42	147
BRARA.E03367	AT3G05420	91.1	0	1182
BRARA.E03368	AT3G05410	85.4	1.8e-168	467
BRARA.E03369	AT3G05400	85	2.38e-283	773
BRARA.E03370	AT3G05390	88.8	3.72e-313	848
BRARA.E03371	AT3G05380	76.7	0	1429
BRARA.E03372	AT3G05350	89.3	0	1245
BRARA.E03373	AT3G05340	79.4	0	1046
BRARA.E03375	AT3G05327	78.8	1.88e-118	335
BRARA.E03378	AT3G05270	76.7	5.59e-238	671
BRARA.E03379	AT3G05260	91.3	8.64e-192	526
BRARA.E03380	AT3G05250	75.9	1.09e-150	421
BRARA.E03381	AT3G05240	78.2	0	923
BRARA.E03382	AT3G05230	91	6.27e-111	312
BRARA.E03385	AT3G05210	84.6	7.87e-221	610
BRARA.E03387	AT3G04960	65.8	1e-98	306
BRARA.E03389	AT3G04970	84	9.9e-222	611
BRARA.E03390	AT3G04980	52.2	0	1118
BRARA.E03392	AT3G05000	98.2	8.87e-123	342
BRARA.E03393	AT4G08630	70.8	0	933
BRARA.E03395	AT5G58340	57.2	4.6e-143	414
BRARA.E03396	AT3G05030	92.5	0	981
BRARA.E03399	AT3G05070	83.7	4.22e-66	197
BRARA.E03401	AT3G05100	86.3	1.84e-207	570
BRARA.E03402	AT3G42950	86.5	0	878
BRARA.E03404	AT3G05120	84.9	1.48e-225	617
BRARA.E03408	AT3G05160	82.4	8.66e-273	746
BRARA.E03410	AT3G05180	82.9	2.31e-230	632
BRARA.E03412	AT3G04930	74.7	9.87e-210	585
BRARA.E03413	AT3G04920	98.5	2.38e-85	244
BRARA.E03414	AT3G04910	85.6	0	1171
BRARA.E03415	AT3G04890	73.9	2.13e-89	262
BRARA.E03416	AT3G04880	88.7	1.78e-194	535
BRARA.E03417	AT3G04870	94.1	0	1060
BRARA.E03418	AT3G04860	85.3	2.84e-183	505
BRARA.E03419	AT4G34670	93.5	3.13e-176	485
BRARA.E03423	AT3G04780	96.6	3.88e-123	343
BRARA.E03425	AT3G04760	56.8	5.68e-49	179
BRARA.E03426	AT3G04750	77.7	0	964
BRARA.E03427	AT3G04740	83.9	0	2701
BRARA.E03429	AT4G11510	51.8	2.51e-16	66.6
BRARA.E03430	AT3G04730	91.9	8.5e-153	423
BRARA.E03435	AT3G04630	79	7.07e-121	347
BRARA.E03437	AT3G04570	83.3	8.92e-156	437
BRARA.E03438	AT3G04560	83	1.68e-213	592
BRARA.E03439	AT3G04530	85.5	7.9e-179	493
BRARA.E03440	AT3G04520	92.1	1.64e-235	643
BRARA.E03441	AT3G04510	89.6	1.55e-124	349
BRARA.E03442	AT3G04500	92.3	5.43e-138	387
BRARA.E03443	AT3G04490	92.1	0	2097
BRARA.E03444	AT3G04480	86	0	1211
BRARA.E03448	AT3G04450	66.5	2.5e-157	450
BRARA.E03450	AT3G04380	72.9	2.2e-261	719
BRARA.E03451	AT3G04370	80.6	3.68e-194	535
BRARA.E03452	AT3G04360	83.8	5.31e-187	523
BRARA.E03453	AT1G65120	58	0	1207
BRARA.E03454	AT3G04340	86.4	0	2179
BRARA.E03455	AT3G04300	93.7	9.76e-65	189
BRARA.E03457	AT3G04280	78.9	4.47e-70	206
BRARA.E03462	AT3G04140	82.7	0	892
BRARA.E03463	AT3G04130	78.5	1.89e-212	597
BRARA.E03466	AT3G04090	89.1	1.45e-147	410
BRARA.E03471	AT3G04030	82.8	6.21e-221	609
BRARA.E03472	AT3G04020	86.8	1.42e-193	532
BRARA.E03473	AT3G04010	90.6	0	910
BRARA.E03475	AT3G04000	81.8	9.18e-151	421
BRARA.E03476	AT3G03990	95.1	9.82e-187	512
BRARA.E03477	AT3G03970	75.8	1.15e-279	770
BRARA.E03479	AT3G03950	70	3.49e-204	568
BRARA.E03484	AT3G03900	95.5	7.77e-142	393
BRARA.E03486	AT3G03890	87.3	1.96e-193	533
BRARA.E03487	AT3G03880	73.8	1.96e-85	249
BRARA.E03488	AT3G03870	70	2.32e-117	336
BRARA.E03490	AT3G03520	93.1	0	949
BRARA.E03491	AT3G03580	76.3	0	1056
BRARA.E03492	AT3G03590	77.4	1.84e-62	188
BRARA.E03495	AT3G03620	88.9	8.09e-317	860
BRARA.E03496	AT3G03650	82.5	6.04e-301	820
BRARA.E03497	AT3G03660	76.8	9.25e-134	380
BRARA.E03498	AT3G03700	86.8	2.9e-290	791
BRARA.E03500	AT3G03720	91.7	0	974
BRARA.E03501	AT3G03750	70.1	1.55e-171	480
BRARA.E03503	AT3G03790	85.8	0	1761
BRARA.E03504	AT3G03800	94.1	6.21e-192	528
BRARA.E03507	AT3G03510	74.9	1.52e-209	584
BRARA.E03508	AT3G03480	81.5	6.18e-275	751
BRARA.E03510	AT3G03450	81.6	1.19e-309	846
BRARA.E03515	AT3G03380	92.4	0	2028
BRARA.E03516	AT3G03330	90.5	3.49e-206	566
BRARA.E03519	AT3G03320	74.1	9.96e-124	351
BRARA.E03520	AT3G03310	90.9	5.13e-317	857
BRARA.E03521	AT3G03300	81.2	0	2218
BRARA.E03522	AT3G03290	84.6	1.73e-138	391
BRARA.E03523	AT3G03280	74.6	5.78e-86	249
BRARA.E03525	AT3G03270	93.3	3.64e-88	255
BRARA.E03528	AT3G03240	85.9	6.28e-223	609
BRARA.E03530	AT3G03210	85.8	1.89e-237	649
BRARA.E03532	AT3G03190	80.4	3.53e-123	347
BRARA.E03534	AT3G03160	94.6	1.91e-85	244
BRARA.E03535	AT3G03150	80.5	1.3e-60	181
BRARA.E03536	AT3G03140	75.3	0	1008
BRARA.E03539	AT3G03100	93.1	1.11e-116	326
BRARA.E03543	AT3G02980	84.2	2.42e-141	395
BRARA.E03545	AT3G02960	75.7	1.44e-123	352
BRARA.E03546	AT3G02950	86.4	1.1e-131	370
BRARA.E03547	AT3G02940	86.3	4.89e-212	580
BRARA.E03548	AT3G02930	64.7	2.38e-199	584
BRARA.E03550	AT3G02880	81.6	3.72e-285	791
BRARA.E03551	AT3G02875	87.8	1.98e-283	771
BRARA.E03552	AT3G02870	92.6	8.28e-181	497
BRARA.E03553	AT3G02860	71.8	4.33e-86	260
BRARA.E03555	AT3G02840	76.6	1.86e-193	538
BRARA.E03556	AT3G02830	88.1	1.23e-169	479
